_id,ax,ay,az,gx,gy,gz,label,timestamp,__v
69be878ca3c7993480e587c5,100,200,300,10,20,30,0,2026-03-21T11:57:00.135Z,0
69be89e50ece870099821a20,-2128,848,16220,-36,81,1,0,2026-03-21T12:07:01.562Z,0
69be89e70ece870099821a22,-2136,808,16148,-14,77,16,0,2026-03-21T12:07:03.164Z,0
69be89e80ece870099821a24,-2076,804,16108,-4,73,-21,0,2026-03-21T12:07:04.567Z,0
69be89ea0ece870099821a26,-2116,808,16104,-40,85,-27,0,2026-03-21T12:07:06.148Z,0
69be89eb0ece870099821a28,-2084,832,16252,3,36,-24,0,2026-03-21T12:07:07.780Z,0
69be89ed0ece870099821a2a,-2124,812,16124,-61,89,-6,0,2026-03-21T12:07:09.433Z,0
69be89ef0ece870099821a2c,-2140,800,16188,-54,76,32,0,2026-03-21T12:07:11.012Z,0
69be89f00ece870099821a2e,-2068,740,16204,-15,77,-24,0,2026-03-21T12:07:12.830Z,0
69be89f20ece870099821a30,-2164,812,16232,-56,71,25,0,2026-03-21T12:07:14.393Z,0
69be89f30ece870099821a32,-2148,880,16192,-39,36,-9,0,2026-03-21T12:07:15.732Z,0
69be89f50ece870099821a34,-2164,836,16256,-33,71,-1,0,2026-03-21T12:07:17.423Z,0
69be89f70ece870099821a36,-2148,840,16168,-45,43,-15,0,2026-03-21T12:07:19.047Z,0
69be89f80ece870099821a38,-2100,792,16260,-30,35,-3,0,2026-03-21T12:07:20.443Z,0
69be89f90ece870099821a3a,-2080,784,16136,-7,86,-4,0,2026-03-21T12:07:21.876Z,0
69be89fb0ece870099821a3c,-2072,824,16132,-25,56,-15,0,2026-03-21T12:07:23.646Z,0
69be89fd0ece870099821a3e,-2116,840,16184,-43,67,-19,0,2026-03-21T12:07:25.313Z,0
69be89fe0ece870099821a40,-2116,796,16220,-44,83,-5,0,2026-03-21T12:07:26.926Z,0
69be8a000ece870099821a42,-2144,792,16128,-45,67,-11,0,2026-03-21T12:07:28.351Z,0
69be8a010ece870099821a44,-2104,836,16168,-11,65,11,0,2026-03-21T12:07:29.800Z,0
